Name,Base MMR,Captain,Pos1,Pos2,Pos3,Pos4,Pos5
bartimeus973,5000,False,10,9,10,10,8
chaptor,6300,True,10,7,10,2,1
daevi,6350,True,5,3,8,10,9
fire_feathers,4500,False,2,5,10,9,6
flukeydota,6600,True,0,0,1,1,10
gravedigster,5400,False,0,0,0,10,10
kivik,3000,False,5,2,10,10,4
lionmercen,5750,True,7,4,8,9,10
shervin_danny2742,5700,True,1,1,1,9,10
sillowl,2500,True,0,0,1,10,9
